0-core-client (1.1.0a5)                                                 - Zero-OS 0-core client
aidsinfo (1.1)                                                          - A Python wrapper for the AIDSinfo drug information API.
aiengine (1.6.1)                                                        - AIEngine is a next generation interactive/programmable Python/Ruby/Java/Lua packet inspection engine
AIGO (0.1.0)                                                            - Analysis and Inter-comparison of Gene Ontology functional annotations
AIKIF (0.2.2)                                                           - Artificial Intelligence Knowledge Information Framework
ailove-django-fias (0.5.2)                                              - FIAS Django integration (fork Ailove)
aima (2015.4.5)                                                         - aima -- Artificial Intelligence, A Modern Approach, by Stuart Russell and Peter Norvig
aimes.bundle (0.1.1)                                                    - Bundle based Information System for AIMES
python-aiml (0.9.0)                                                     - An interpreter package for AIML, the Artificial Intelligence Markup Language
aimlbotkernel (1.0.4)                                                   - A Chatbot kernel for Jupyter based on pyAIML
aino-mutations (0.1.0.0)                                                - Mutating for evolution using Django and Mercurial
aino-jstools (0.1.0.6)                                                  - JavaScript tools for Django
aio (0.1)                                                               - A CPython extension module wrapping the POSIX aio_* syscalls
aio-nasa-tle-loader (1.0.0)                                             - Small async wrapper for `nasa-tle-loader` package
aio-s3 (0.1)                                                            - Asyncio-based client for S3
aio-space-track-api (2.1.1)                                             - Small async wrapper for "space-track-api" package.
sqlalchemy-aio (0.11.0)                                                 - Asyncio strategy for SQLAlchemy.
aio-tinder (0.1.8)                                                      - Asynchronous Tinder API client
aio-feedfinder2 (0.3.0)                                                 - Find the feed URLs for a website.
aio-service-client (0.6.1)                                              - Service Client Framework powered by Python asyncio.
pymata-aio (2.16)                                                       - A Python Protocol Abstraction Library For Arduino Firmata using Python asyncio
aio-pika (0.17.0)                                                       - Wrapper for the PIKA for asyncio and humans.
aio.app (0.1.8)                                                         - Aio application runner
aio.http.server (0.1.4)                                                 - HTTP server for the aio asyncio framework
aio.manhole.server (0.0.2)                                              - Manhole server for the aio asyncio framework
aio.signals (0.1.3)                                                     - Pubsub system for aio framework
aio.testing (0.1.0)                                                     - Testing utils for aio asyncio framework
aio.web.page (0.1.0)                                                    - Web page templates for the aio asyncio framework
aio.web.server (0.1.3)                                                  - Web server for the aio asyncio framework
aio2gis (0.0.1)                                                         - asyncio-powered 2gis library for Python
aio_anticaptcha (0.1.0)                                                 - Real-time captcha-to-text decodings
aio_crud_store (0.0.2)                                                  - A small subset of dbs capabilities to write dbs-independent asyncio libs
aio_etcd (0.4.5.0)                                                      - An asynchronous python client for etcd
aio_periodic (0.1.6)                                                    - The periodic task system client for python3 base on asyncio
aio_pybars (0.1.0)                                                      - pybars3 (handlebars) templates rendering for aiohttp.
aio_yamlconfig (0.2.0)                                                  - YAML configuration parser with validation.
aioamqp (0.10.0)                                                        - AMQP implementation using asyncio
aioamqp_consumer (0.0.1)                                                - Consumer/producer like library built over amqp (aioamqp)
aioapns (0.6)                                                           - An efficient APNs Client Library for Python/asyncio
aioauth-client (0.9.3)                                                  - 
aioautomatic (0.4.0)                                                    - Asyncio library for the Automatic API
aioavast (1.0.1)                                                        - Asyncio library for Avast antivirus
aioawait (8)                                                            - Call asynchronous functions of Python 3.4.3 asyncio infrastructure from synchronous code
aiobasex (0.0.1)                                                        - non-blocking client for BaseX, based on python/asyncio platform
aiobosest (0.0.4)                                                       - Asynchronous python wrapper to Bose SoundTouch API
aiobotocore-botorange (0.1.0)                                           - Async client for aws services using botocore and aiohttp
aiobotocore-mirror (0.0.4)                                              - UNKNOWN
aiobotocore (0.4.3)                                                     - Async client for aws services using botocore and aiohttp
aiocall (0.2)                                                           - The missing call methods for python asyncio
aiocassandra (1.0.3)                                                    - Simple threaded cassandra wrapper for asyncio
aiocfscrape (0.0.2)                                                     - A simple async Python module to bypass Cloudflare's anti-bot page. See https://github.com/pavlodvornikov/aiocfscrape for more information.
aiochannel (0.2.3rc1)                                                   - asyncio Channels (closable queues) inspired by golang
aiocoap (0.3)                                                           - Python CoAP library
aioconsole (0.1.3)                                                      - Asynchronous console and interfaces for asyncio
aioconsul (0.7.0rc1)                                                    - async/await client for the Consul HTTP API
aiocouchdb (0.9.1)                                                      - CouchDB client built on top of aiohttp (asyncio)
aiodataloader (0.1.2)                                                   - Asyncio DataLoader implementation for Python
aiodcard (0.1.0)                                                        - Dcard crawler using asyncio(coroutine)
aiodebug (1.1.2)                                                        - A tiny library for monitoring and testing asyncio programs
aiodisque (0.1)                                                         - Asyncio Disque client
aiodjango (0.1.0)                                                       - Utilities for running async aiohttp based routes in the context of a Django project.
aiodns (1.1.1)                                                          - Simple DNS resolver for asyncio
aiodocker (0.7)                                                         - Docker API client for asyncio
aioeasywebdav (2.2.0)                                                   - A straight-forward WebDAV client, ported from easywebdav to use aiohttp.
aioelasticsearch (0.2.0)                                                - aioelasticsearch-py wrapper for asyncio
aioes-ext (0.6.2)                                                       - Elasticsearch integration with asyncio.
aioes (0.7.2)                                                           - Elasticsearch integration with asyncio.
aioesl (0.1.3.3)                                                        - asyncio based protocol for the FreeSWITCH's Event Socket
aioeventlet (0.5.1)                                                     - asyncio event loop scheduling callbacks in eventlet.
prometheus-aioexporter (1.0.1)                                          - Asyncio library for creating Prometheus exporters.
aiofcm (0.7)                                                            - An efficient Firebase Cloud Messaging Client Library for Python/asyncio
aiofile (0.3.0)                                                         - Asynchronous file operations.
aiofiles-ext (0.4.0)                                                    - File support for asyncio.
aiofiles (0.3.1)                                                        - File support for asyncio.
aioflock (0.0.1)                                                        - File lock support for asyncio.
aiofluent (1.0.1)                                                       - A Python logging handler for Fluentd event collector
aioftp (0.7.0)                                                          - ftp client/server for asyncio
aioga (0.0.2)                                                           - Google Analytics client for asyncio
aiogearman (0.0.1)                                                      - asyncio (PEP 3156) gearman job server support
aiogevent (0.2)                                                         - asyncio API (PEP 3156) implemented on top of gevent
aiogibson (0.1.3)                                                       - asyncio (PEP 3156) Gibson cache support
aiogoogletrans (3.0)                                                    - Free Google Translate API for Python. Translates totally free of charge.
aiogram (0.3)                                                           - Telegram bot API framework based on asyncio
aiographite (0.1.8)                                                     - 
aiogreen (0.3)                                                          - asyncio event loop scheduling callbacks in eventlet.
aiogremlin (3.2.5)                                                      - Async Gremlin-Python
aiogrn (0.0.1)                                                          - asyncio Groonga Client library
aioh2 (0.1.0)                                                           - HTTP/2 implementation with hyper-h2 on Python 3 asyncio.
aiohdfs (0.1.3.dev1)                                                    - UNKNOWN
aiohttp-datadog (0.1.0)                                                 - An aiohttp middleware for reporting metrics to Datadog
aiohttp-riak (0.0.1)                                                    - HTTP Riak connector for aiohttp
aiohttp-spyne (0.1.0)                                                   - Aiohttp transport for Spyne RPC library
aiohttp-sentry (0.1.0)                                                  - An aiohttp middleware for reporting errors to Sentry
aiohttp-wsrpc (0.5.3)                                                   - WSRPC WebSocket RPC for tornado
aiohttp-index (0.1)                                                     - aiohttp.web middleware to serve index files (e.g. index.html) when static directories are requested.
aiohttp-middlewares (0.1.0a2)                                           - Collection of useful middlewares for aiohttp appliactions
aiohttp-r3 (0.0.3)                                                      - R3 router for aiohttp
aiohttp-cache (1.0.2)                                                   - A cache system for aiohttp server
webtest-aiohttp (1.1.1)                                                 - webtest-aiohttp provides integration of WebTest with aiohttp.web applications
aiohttp-jrpc (0.1.0)                                                    - JSON RPC protocol for aiohttp.web (http server for asyncio)
aiohttp-sse (1.0.0)                                                     - Server-sent events  support for aiohttp.
raven-aiohttp (0.5.0)                                                   - An asyncio transport for raven-python
aiohttp-swagger (1.0.5)                                                 - Swagger API Documentation builder for aiohttp server
aiohttp-xmlrpc (0.4.1)                                                  - aiohttp XML-RPC server handler and client
aiohttp-login (1.3.0)                                                   - Registration and authorization (including social) for aiohttp apps
aiohttp-devtools (0.5)                                                  - Dev tools for aiohttp
aiohttp-wsgi (0.7.0)                                                    - WSGI adapter for aiohttp.
aiohttp-json-api (0.16.0)                                               - JSON API driven by aiohttp
aiohttp (2.2.3)                                                         - Async http client/server framework (asyncio)
aiohttp_ac_hipchat (0.4.5)                                              - Aiohttp extension to support Atlassian Connect for HipChat
aiohttp_ac_hipchat_postgre (0.3.dev1)                                   - Postgre store for aiohttp_ac_hipchat
aiohttp_admin (0.0.1)                                                   - admin interface for aiohttp application
aiohttp_auth (0.1.1)                                                    - Authorization and authentication middleware plugin for aiohttp.
aiohttp_auth_autz (0.2.2)                                               - Authorization and authentication middleware plugin for aiohttp.
aiohttp_autoreload (0.0.1)                                              - Makes aiohttp server autoreload on source code change
aiohttp_cors (0.5.3)                                                    - CORS support for aiohttp
aiohttp_debugtoolbar (0.4.0)                                            - debugtoolbar for aiohttp
aiohttp_exc_handlers (0.2)                                              - Bind views to exceptions for aiohttp
aiohttp_jinja2 (0.13.0)                                                 - jinja2 template renderer for aiohttp.web (http server for asyncio)
aiohttp_mako (0.3.0)                                                    - mako template renderer for aiohttp.web (http server for asyncio)
aiohttp_route_decorator (0.1.4)                                         - aiohttp @route decorator that doesn't need the app singleton
aiohttp_session (0.8.0)                                                 - sessions for aiohttp.web
aiohttp_session_flash (0.0.4)                                           - Session flash messages for aiohttp.web
aiohttp_tests (1.0.4)                                                   - unittest helper for aiohttp
aiohttp_tools (0.0.1)                                                   - A set of little tools for aiohttp-based sites
aiohttp_utils (3.0.0)                                                   - Handy utilities for aiohttp.web applications.
aioimaplib (0.7.8)                                                      - Python asyncio IMAP4rev1 client library
aioirc (0.1)                                                            - AsyncIO IRC Library for >= Python 3.3
aiojobs (0.0.3)                                                         - Jobs scheduler for managing asyncio background tasks
aiokafka (0.2.2)                                                        - Kafka integration with asyncio.
aiokts (0.2.7)                                                          - Tuned asyncio and aiohttp classes for simpler creation of powerful APIs
aioli (0.0.4)                                                           - asyncio special sauce
aiolifxc (0.5.5)                                                        - API for local communication with LIFX devices over a LAN with asyncio.
aiolirc (0.1.2)                                                         - lirc python extension for asyncio
aiolog (0.0.2)                                                          - Asynchronous handlers for standard python logging library
aiomanhole (0.4.2)                                                      - Python module to provide a manhole in asyncio applications
aiomas (1.0.3)                                                          - Asyncio-based, layered networking library providing request-reply channels, RPC, and multi-agent systems.
aiomcache (0.5.2)                                                       - Minimal pure python memcached client
aiomeasures-fork (0.5.16)                                               - Collect and send metrics to StatsD
aiomeasures (0.5.14)                                                    - Collect and send metrics to StatsD
aiomemcache (0.1)                                                       - Minimal pure python memcached client
aiomock (0.1.0)                                                         - a python mock with async methods
aiomongodel (0.1.0)                                                     - ODM to use with asynchronous MongoDB Motor driver.
aiomonitor (0.2.1)                                                      - aiomonitor adds monitor and python REPL capabilities for asyncio application
aiompd (0.4.0)                                                          - MPD (Music Player Daemon) client for asyncio
aiomysql (0.0.9)                                                        - MySQL driver for asyncio.
aionationstates (0.1.0)                                                 - An asyncio wrapper for the NationStates API.
aioneo4j (0.0.3)                                                        - asyncio client for neo4j
aionn (0.4.0)                                                           - aionn - asyncio messaging library based on nanomsg and nnpy
aionotify (0.2.0)                                                       - Asyncio-powered inotify library
aionsq (0.1.0a0)                                                        - UNKNOWN
aioodbc (0.2.0)                                                         - ODBC driver for asyncio.
aioorm (0.0.3)                                                          - a simple orm suport asyncio,fork of aiopeewee
aiopeewee (0.4.0)                                                       - Async Peewee
aiopg (0.13.0)                                                          - Postgres integration with asyncio.
aiopg8000 (1.10.3)                                                      - PostgreSQL interface library, for asyncio
aiopgx (0.7.0)                                                          - Postgres integration with asyncio.
aioprocessing (1.0.0)                                                   - A Python 3.3+ library that integrates the multiprocessing module with asyncio.
aioprometheus (17.6.1)                                                  - A Prometheus Python client library for asyncio-based applications
aiopubsub (1.0.0)                                                       - Simple pubsub pattern for asyncio applications
aiopype (0.1.4)                                                         - AioPype - Flow based programming with asyncio
aiopyramid (0.4.1)                                                      - Tools for running pyramid using asyncio.
aioqueue (0.3.0)                                                        - A Python Task Queue library using RabbitMQ (aioamqp) and asyncio
aiorchestra-asyncssh-plugin (0.1.2)                                     - AsyncIO TOSCA orchestrator AsyncSSH plugin for Software configuration
aiorchestra-openstack-plugin (0.1.3)                                    - AsyncIO TOSCA orchestrator OpenStack plugin
aiorchestra (0.1.3)                                                     - AsyncIO TOSCA orchestrator
aioreactive (0.3.0)                                                     - Async/await Reactive Tools for Python 3.5+
aioredis (1.0.0b2)                                                      - asyncio (PEP 3156) Redis support
aioredlock (0.1.1)                                                      - Asyncio implemetation of Redis distributed locks
aioredux (1.1.0)                                                        - Pythonic redux
aioreloader (0.0.1)                                                     - Port of tornado reloader to asyncio
aiorequests (0.1.1)                                                     - A requests-like API built on top of aiohttp client
aioresponses (0.1.5)                                                    - Mock out requests made by ClientSession from aiohttp package
aiorest (0.4.0)                                                         - Support REST calls for asyncio+aiohttp.
aiorethink (0.2.1)                                                      - Asynchronous asyncio compatible ODM for RethinkDB
aioriak (0.1.8)                                                         - Async implementation of Riak DB python client
aiorpc (0.1.2)                                                          - A fast RPC library based on asyncio and MessagePack
aiorwlock (0.4.0)                                                       - Read write lock for asyncio.
aiosasl (0.3.1)                                                         - Pure-python, protocol agnostic SASL library for asyncio
aiosc (0.1.1)                                                           - Minimalistic Open Sound Control (OSC) communication module using asyncio
aioshell (1.0)                                                          - Run single-threaded concurrent shell and ssh commands withfew keystrokes.
aiosip (0.1.0)                                                          - SIP support for AsyncIO
aioslacker (0.0.7)                                                      - slacker wrapper for asyncio
aiosmtpd (1.1)                                                          - aiosmtpd - asyncio based SMTP server
aiosmtplib (1.0.1)                                                      - asyncio SMTP client
aiosocks (0.2.4)                                                        - SOCKS proxy client for asyncio and aiohttp
aiospamc (0.3.0)                                                        - An asyncio-based library to communicate with SpamAssassin's SPAMD service.
aiostream (0.2.4)                                                       - Generator-based operators for asynchronous iteration
aiotarantool (1.1.5)                                                    - Tarantool connection driver for work with asyncio
aiotarantool_queue (0.0.3)                                              - Tarantool Queue python bindings for asyncio
aiotasks (1.0.0a2)                                                      - A Celery like task manager that distributes Asyncio coroutines
aiotelebot (0.2.3)                                                      - Unofficial Telegram Bot SDK for Python 3.5+
aiotelegram (0.3.1)                                                     - Tiny asyncio-based telgram api wrapper library
aiotest (0.3)                                                           - test suite to validate an implementation of the asyncio API, the PEP 3156
aiotg (0.9.2)                                                           - Asynchronous Python API for building Telegram bots
aiothrift (0.1)                                                         - async thrift server and client
aiothrottle (0.1.3)                                                     - Throttling, flow controlling StreamReader for aiohttp
aiotkinter (0.2)                                                        - An asyncio API for the Tkinter event loop
aiotools (0.3.0)                                                        - Idiomatic asyncio utilities
aiotrade (0.0.1)                                                        - Python framework for the algorithmic trading
aiounfurl (0.2.4)                                                       - Making site preview
aiourlshortener (0.0.3)                                                 - asynchronous python3 lib to short long url
aiourlstatus (0.5.0)                                                    - A tool to check links from a json / text file
aioutils (0.3.10)                                                       - Python3 Asyncio Utils
aiovalidator (0.0.4)                                                    - rest, restful validator aiohttp
aiovault (0.2.0)                                                        - Vault asyncio
aioviber (0.1.5)                                                        - Asynchronous Python API for building Viber bots.
aiovk (1.2.2)                                                           - vk.com API python wrapper for asyncio
aiowerkzeug (0.2.0)                                                     - Werkzeug for asyncio
aioworkers (0.6.0)                                                      - Easy configurable workers based on asyncio
aiowrap (0.1.1)                                                         - Tools for wrapping existing synchronous libraries into Python3's asyncio framework.
aiowsgi (0.6)                                                           - minimalist wsgi server using asyncio
aioxmlrpc (0.4)                                                         - XML-RPC client for asyncio
aioxmpp (0.9.0)                                                         - Pure-python XMPP library for asyncio
aioyoyo (1.2.2)                                                         - An Asyncio oyoyo port for Python 3.5+
aiozmq (0.7.1)                                                          - ZeroMQ integration with asyncio.
aipsetup (3.4.3)                                                        - software tools for building and maintaining own gnu+linux distro
aipy (2.1.4)                                                            - Astronomical Interferometry in PYthon
aiqpy (0.10b2)                                                          - Python bindings for connecting to a AIQ8 server
track-china-post-air-mail (1.0)                                         - ChinaPost / AirMail tracking GUI
airavata (0.9.5)                                                        - Multiple dynamic sistes with Django
airbnb (1.0.0)                                                          - A wrapper for airbnb.com API
airbrake-tornado (0.0.2)                                                - Airbrake notifier for Tornado web framework.
Flask-Airbrake (0.0.3)                                                  - Flask extension for Airbrake
django-airbrake (1.2.0)                                                 - Airbrake exception logger for Django
airbrake (2.0.0)                                                        - Python SDK for airbrake.io
airbrake-flask (1.0.7)                                                  - airbrake-flask - Airbrake client for Python Flask
AirbrakePy (1.0.0b2)                                                    - Airbrake notifier for Python logging framework
airbrite (0.1)                                                          - Airbrite python bindings
icao-aircrft (0.0.9)                                                    - Python client for lookup of ICAO aircraft (Doc 8643) information
aircv (1.4.6)                                                           - Find object position based on python-opencv2.
robotframework-aircvlibrary (1.0.3.dev5)                                - aircv wrapper for RobotFramework
airgram (0.1.3)                                                         - Wrapper for the airgram api
airgun (0.1)                                                            - A Python lib to generate Hammer CLI commands
airoscriptng (0.0.3)                                                    - Airoscript-ng python complete implementation
airplane (0.1.1)                                                        - A little statusbar for to allow switching into an airplane mode under OS X written in Python.
django-airplane (0.1.1)                                                 - Django app that caches CDN files for use when coding offline
django-airports (0.1.4)                                                 - Airport model and worldwide airport data for Django
airpy (0.0.7)                                                           - Documentation Installer for the Pythonic Soul
geokey-airquality (1.2.0)                                               - GeoKey extension for Air Quality functionality
airsea (0.0.1)                                                          - AirSea Libray for Python
airsign (0.0.2)                                                         - Command line tool to interface with the BitShares network
airspeed (0.5.6.dev20170625)                                            - Airspeed is a powerful and easy-to-use templating engine for Python that aims for a high level of compatibility with the popular Velocity library for Java.
airtable (0.3.1)                                                        - UNKNOWN
airtest (0.0.1.dev6)                                                    - Automation test library for android based on opencv
airtest_for_h9 (0.2.1.9)                                                - mobile test(black air) python lib
airwaveapiclient (0.1.8)                                                - Aruba Networks AirWave API Client.
airwing_autopublish (1.0.5)                                             - GeoServer REST Configuration
airwing_geoinfo (1.0.6)                                                 - this is a package for getting geoinfo in geoserver
airwing_gwc (1.0.13)                                                    - this is a package for auto generating tile layers in geosever
airy (0.1.3)                                                            - Web Application Framework
pyreadline-ais (2.0.3)                                                  - A more complete python implmementation of GNU readline.
AIS.py (0.2.1)                                                          - Python interface for the Swisscom All-in Signing Service
aisparser (0.0.6)                                                       - Python library parsing AIS message
AISTLAB_nitrotyper (0.6.10)                                             - https://www.nitrotype.com auto typer
AISTLAB_novel_grab (1.2.12)                                             - novel grab crawler module using python3 and lxml
AISTLAB_utils (0.1.6)                                                   - Tools packages created by python.
aitertools (0.1.0)                                                      - Async versions of the itertools features.
aiven-client (1.2.1)                                                    - Aiven.io client library / command-line client
aja (0.9.2)                                                             - Buildout-based deployment made safe and easy
django-ajax-chat (0.2)                                                  - A simple Django ajax chat.
django-shop-ajax (0.1.3)                                                - Ajax utilities for django SHOP
django-ajax-toolkit (0.3.0)                                             - Ajax goodies for django projects.
django-ajax-search (1.5.1)                                              - A customizable AJAX-powered search for Django.
django-ajax-selects (1.6.0)                                             - Edit ForeignKey, ManyToManyField and CharField in Django Admin using jQuery UI AutoComplete.
django-ajaxerrors (1.1)                                                 - Django middleware for unhandled AJAX errors
ajaxfeed (1.0.3)                                                        - Python client library for Google Ajax Feed APIs
django-ajaxfeedback (0.3.3)                                             - Django easy ajax feedback form.
django-forms-ajaxified (0.2)                                            - A reusable Django app that allows to load and submit forms via AJAX.
django-ajaximage (0.2.8)                                                - Upload images via ajax. Images are optionally resized.
AJDecimalMathAdditions (0.2.0)                                          - This Decimal math library will add additional trig and math functions to the decimal.py module in python.
ajgu (15.07.25)                                                         - Graph Database for everyday use
AjguDB (0.8.1)                                                          - Explore you connected data
ak-construct (2.5.2)                                                    - A powerful declarative parser/builder for binary data
ak-gchartwrapper (0.9.1)                                                - Python Google Chart Wrapper
ak-syntribos (0.3.1.dev91)                                              - API Security Scanner
ak-M2Crypto (0.24.0)                                                    - Python 3 fork of M2Crypto: A Python 3 crypto and SSL toolkit
ak-postmonkey (1.0b1)                                                   - Appknox fork of Python wrapper for Mailchimp API
ak-websockify (0.6.0.1)                                                 - Appknox forn of Websockify.
ak-isign (0.9.3)                                                        - Re-signing iOS apps without Apple tools
ak-django-datadog (0.1.0.5)                                             - Simple Django middleware for submitting timings and exceptions to Datadog.
aka (1.0.3)                                                             - Rename/copy files using Python code
akadata (0.3.0)                                                         - Python port of Akamai EdgeScape client
akadav (0.6.2)                                                          - WebDAV module for Twisted
akagi (0.1.20b2)                                                        - Codenize your data sources
akamai-authtoken (0.4.3)                                                - Akamai Authorization Token for Configuration
django-akamai (2.0.0)                                                   - A Django app for performing Akamai purge requests
akamaikickstart (1.0.0)                                                 - Bootcamp examples for Akamai {OPEN} APIs
akcli (0.1.3)                                                           - Akamai CLI tool written in Python
ake (0.0)                                                               - UNKNOWN
Akhet (2.0)                                                             - A Pyramid library and demo app with a Pylons-like feel.
akilib (2.1.6)                                                          - This Library is Hardware Library. and You can buy parts in Japan Akihabara .
akiokio-django-geoposition (0.2.2)                                      - Django model field that can hold a geoposition, and corresponding admin widget.
django-akismet-comments (0.1)                                           - Django moderator for checking django.contrib.comments spam against akismet service.
zinnia-spam-checker-akismet (1.1)                                       - Anti-spam protections for django-blog-zinnia with Akismet or Typepad
python-akismet (0.3.0)                                                  - Akismet v1.1 module for Python.
akismet (1.0.1)                                                         - A Python interface to the Akismet spam-filtering API.
Akispy (0.1)                                                            - Light weight python client for Akismet API.
akkdict (0.1.0)                                                         - simple utility for looking up Akkadian words in the CAD
aktos-dcs (0.7)                                                         - Aktos DCS core library
al-cloudinsight (1.1)                                                   - This is an example project which shows how to access the Cloud Insight API using Python.
alabama (0.1.4)                                                         - A small and simple python orm to connect with postgresql database.
jupyter-alabaster-theme (0.4.0)                                         - Jupyter Alabaster Theme
alabaster (0.7.10)                                                      - A configurable sidebar-enabled Sphinx theme
  INSTALLED: 0.7.10 (latest)
alabastermobile (0.2.2)                                                 - theme for ablog
alacarte (0.6.2)                                                        - A common templating interface for Python applications.
django-alacarte (0.1.6)                                                 - A minimalist Django menu app.
disk-alarm (2.7)                                                        - An utility to send warning e-mail messages when available space on some disk goes below a configured threshold.
alarm (2.1)                                                             - CLI Alarm Clock
Mopidy-AlarmClock (0.1.6)                                               - A Mopidy extension for using it as an alarm clock.
alarmdecoder (0.12.3)                                                   - Python interface for the AlarmDecoder (AD2) family of alarm devices which includes the AD2USB, AD2SERIAL and AD2PI.
alart (0.1.1)                                                           - Generate pseudo-random art
alas-ce0-client (0.40)                                                  - API client for Alas.Ce0 project
alauda-kombu (3.0.37)                                                   - Messaging library for Python
alauda-celery (3.1.25rc1)                                               - Distributed Task Queue
alauda-redis-py-cluster (1.3.4)                                         - Cluster library for redis 3.0.0 built on top of redis-py lib
alauda-django-oauth (0.9.0)                                             - OAuth2 goodies for Django
alba-client-python (1.0.9)                                              - API client for Alba.
albatross (1.36)                                                        - Albatross is a toolkit for developing highly stateful web applications.
albatross3 (0.6.3)                                                      - A modern async python3 web framework
albatross_extras (0.2.0)                                                - Utilities for albatross web framework
Albertson (0.1.8)                                                       - Easy to use, scalable, counters powered by Amazon's DynamoDB
albopictus (1.2)                                                        - Environmentally-driven population dynamics model of Aedes albopictus
albt (1.0.1b7)                                                          - AWS Lambda Build tool
album-dl (0.2.1)                                                        - Python application to download full music albums using LastFM and Youtube
AlbumDownloader (0.1.0)                                                 - Python application to download full music albums using LastFM and Youtube
alchemize (0.6.1)                                                       - A simple library that allows for serialization and deserialization of models via mapping definitions
Flask-Alchemy (0.1)                                                     - The fastest markdown parser in pure Python
alchemy (0.0.1)                                                         - job processing
tornado-alchemy-rest (0.1.3)                                            - Tornado REST API
jinja2-alchemy-starter (0.3.1)                                          - Pyramid Scaffold for getting started with SQLAlchemy ORM and Jinja2 Templating Engine
AlchemyAPI (1.0)                                                        - Python access to AlchemyAPI for unstructured text analysis and natural language processing.
alchemyapi_python (1.2.1)                                               - Enhanced version of AlchemyAPI Python SDK
alchemyjsonschema (0.4.2)                                               - mapping jsonschema for sqlalchemy models
Alchemytools (0.5.2)                                                    - Alchemytools is a set of helpers to be used in any SQLAlchemy project
Flask-AlchemyView (0.1.4)                                               - Simple ModelView for auto-generating Flask Views based on SQLAlchemy models
alchimia (0.7.0)                                                        - (SQLAlchemy - ORM) + Twisted = win
alchy (2.2.2)                                                           - A SQLAlchemy extension for its declarative ORM that provides enhancements for model classes, queries, and sessions.
alco (2.5.2)                                                            - Autonomous Log Collector and Observer
aldjemy (0.8.0)                                                         - SQLAlchemy to Django integration library
aldryn-redirects (1.0.0)                                                - A modified version of django.contrib.redirects with multilingual target URLs.
aldryn-django (1.6.11.1)                                                - An opinionated Django setup bundled as an Aldryn Addon
aldryn-wow (1.0.0)                                                      - Plugin for aldryn to include awesome animations from WOW.js and Animate.css
aldryn-disqus (1.0.0)                                                   - Allows embeding Disqus threads into the site
aldryn-apphook-reload (0.2.3)                                           - Reload urls of django CMS Apphooks without a restart
aldryn-boilerplates (0.7.5)                                             - An extension that allows re-usable apps to provide sets of templates and staticfiles for different boilerplates.
aldryn-categories (1.0.4)                                               - Hierarchical categories/taxonomies for your Django project
aldryn-apphooks-config (0.3.3)                                          - Namespaces based configuration for Apphooks
aldryn-reversion (1.1.0)                                                - Support for django-reversion on models with translatable fields and django-cms placeholder fields.
aldryn-events (1.1.7)                                                   - An events app for Aldryn
aldryn-people (1.2.2)                                                   - Aldryn People publishes profile pages for people in your organisation including team members, collaborators, partners, clients, and so on, including photographs and address information.
aldryn-bootstrap3 (1.2.2)                                               - Adds Bootstrap 3 components as plugins.
aldryn-client (2.3.5)                                                   - The command-line client for the Aldryn Cloud
aleatorio (0.1.10)                                                      - A sample Python project
alebot (0.1.2)                                                          - A super lean and highly modularized irc bot
Audit-Alembic (0.1.0)                                                   - An Alembic plugin to keep records of upgrades and downgrades.
uliweb-alembic (0.6.9)                                                  - A port of alembic for uliweb framework.
alembic-offline (1.2.0)                                                 - Offline extensions for alemic database migration framework
Flask-Alembic (2.0.1)                                                   - Flask extension to integrate Alembic migrations
alembic (0.9.3)                                                         - A database migration tool for SQLAlchemy.
aleparser (0.1.1)                                                       - A simple python ALE (AvidLogExchange) parser.
django-geolocation-alert (0.5.1)                                        - Geolocation django middleware that check if user IP or agent browser change during session time.
nose-alert (0.9.1)                                                      - A nose plugin showing success/failure status notification.
alert-from-script (0.1.2)                                               - Generate SNS alerts from any command.
slack-alert (0.1.5)                                                     - Send message onto a channel when this need be alerted under Python3
simple-monitor-alert (0.2.4)                                            - A simple monitor with alerts for Unix/Linux under the KISS philosophy. Keep It Simple, Stupid!
django-alert (0.8.1)                                                    - Send alerts, notifications, and messages based on events in your django application
alerta (4.8.10)                                                         - Alerta unified command-line tool and SDK
alerta-server (4.9.6)                                                   - Alerta server WSGI application
alertlogic (0.4.2)                                                      - Alert Logic Library
alertlogic_cli (1.2.0)                                                  - Command Line Client for Alertlogic Services.
