Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
21-April-2016,408.70,417.00,406.10,411.45,411.870029235565388538,556856,9108,229352297.00,112578,20.22,10.90,2.75
20-April-2016,409.70,410.10,401.10,404.05,406.292769602875403678,444042,9061,180411054.00,96468,21.72,9.00,-5.65
18-April-2016,408.85,409.45,402.55,407.10,406.303621256923909874,288132,5645,117069075.00,66651,23.13,6.90,-1.75
13-April-2016,399.85,411.65,398.30,408.55,407.209919818722668868,836729,16520,340724349.00,227737,27.22,13.35,8.70
12-April-2016,389.40,396.65,387.25,395.10,393.420151102878249087,625137,10237,245941493.00,113801,18.20,9.40,5.70
11-April-2016,373.25,387.20,373.25,385.85,382.141907654560384657,505385,8895,193128788.00,135183,26.75,13.95,12.60
8-April-2016,375.10,379.90,371.30,372.20,374.721325718958555815,371753,6001,139303777.00,62745,16.88,8.60,-2.90
7-April-2016,377.20,384.70,370.75,375.10,377.819806136401243653,574115,10106,216912018.00,55039,9.59,13.95,-2.10
6-April-2016,374.00,382.50,372.00,377.20,378.080520414197752756,517434,10286,195631716.00,85842,16.59,10.50,3.20
5-April-2016,387.00,387.00,368.40,370.50,376.530826914678207011,402992,7879,151738911.00,113991,28.29,18.60,-16.50
4-April-2016,385.35,390.90,382.75,388.05,387.326206937304260473,423075,8866,163868035.00,88338,20.88,8.15,2.70
1-April-2016,388.40,388.40,377.60,379.55,380.612086683952797948,494809,12565,188330286.00,159288,32.19,10.80,-8.85
31-March-2016,389.80,393.50,380.60,386.30,388.809771498625205532,655007,11412,254673122.00,120914,18.46,12.90,-3.50
30-March-2016,380.65,392.00,377.10,388.90,384.316430138230261700,808289,11102,310638743.00,194909,24.11,14.90,8.25
29-March-2016,365.80,378.25,363.20,372.80,372.815902876769310953,608217,9221,226752970.00,129386,21.27,15.05,7.00
28-March-2016,376.00,376.70,361.65,363.25,366.829745413227961429,788572,7801,289271666.00,389784,49.43,15.05,-12.75
23-March-2016,378.70,379.35,374.00,376.95,376.696686901138849275,549063,10172,206830213.00,162935,29.68,5.35,-1.75
22-March-2016,375.00,381.25,370.55,376.90,376.036102386780705739,611954,9595,230116797.00,97204,15.88,10.70,1.90
21-March-2016,365.65,375.20,365.65,374.55,372.120899925823594189,656543,12060,244313372.00,207914,31.67,9.55,8.90
18-March-2016,362.00,367.35,362.00,365.90,365.209915932340727235,493650,7205,180285875.00,121361,24.58,5.35,3.90
