Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
27-October-2016,472.00,472.00,461.25,462.65,464.219697484869386129,102937,4356,47785383.00,35405,34.39,10.75,-9.35
26-October-2016,480.00,480.00,471.50,472.40,474.026232392606144218,100029,3467,47416370.00,41241,41.23,8.50,-7.60
25-October-2016,483.95,483.95,479.65,481.25,481.185242894937592313,61611,2089,29646304.00,19304,31.33,4.30,-2.70
24-October-2016,491.00,494.80,478.10,483.75,481.083363383245745227,676652,6778,325526020.00,413687,61.14,16.70,-7.25
21-October-2016,500.70,504.30,493.90,499.20,498.343327520670872683,204152,5939,101737787.00,49913,24.45,10.40,-1.50
20-October-2016,495.20,500.70,492.30,495.50,496.145150975091881198,117271,3459,58183438.00,29532,25.18,8.40,0.30
19-October-2016,482.10,496.70,482.10,494.55,492.111235658710272979,181992,4394,89560308.00,58370,32.07,14.60,12.45
18-October-2016,473.55,486.50,473.10,481.35,479.139897357916745865,57871,1952,27728305.00,18274,31.58,13.40,7.80
17-October-2016,474.70,475.80,470.10,471.50,472.171352618656427107,54169,1748,25577050.00,26332,48.61,5.70,-3.20
14-October-2016,477.20,483.00,473.30,474.50,475.838650531719838650,35451,1487,16868956.00,13001,36.67,9.70,-2.70
13-October-2016,477.00,478.00,474.10,477.10,475.819983336537845286,78015,2239,37121096.00,34136,43.76,3.90,0.10
10-October-2016,476.60,479.75,476.10,476.95,477.230542829376648618,36015,1171,17187458.00,15572,43.24,3.65,0.35
7-October-2016,478.10,479.50,475.10,476.60,477.386739389807397306,29335,969,14004140.00,10904,37.17,4.40,-1.50
6-October-2016,479.50,480.50,476.50,477.70,477.870829099355052777,192884,2058,92173637.00,121574,63.03,4.00,-1.80
5-October-2016,484.00,484.00,476.50,478.95,478.335774869055859169,96797,2091,46301468.00,49331,50.96,7.50,-5.05
5-October-2016,484.00,484.00,476.50,478.95,478.335774869055859169,96797,2091,46301468.00,49331,50.96,7.50,-5.05
4-October-2016,480.50,484.90,479.25,481.50,483.011635750421585160,77090,1906,37235367.00,19608,25.44,5.65,1.00
3-October-2016,479.00,479.75,474.25,478.55,477.789110149611635302,38366,1262,18330857.00,13828,36.04,5.50,-0.45
30-September-2016,479.00,479.85,473.25,477.65,477.301447776628748707,59954,1822,28616131.00,14394,24.01,6.60,-1.35
29-September-2016,483.40,484.40,470.00,472.45,477.347278056525234843,196514,3663,93805423.00,99153,50.46,14.40,-10.95
28-September-2016,484.05,484.60,480.20,483.40,482.435942000198629456,40276,951,19430590.00,12007,29.81,4.40,-0.65
27-September-2016,480.50,485.05,479.00,484.40,483.216792799801959189,113108,1871,54655685.00,73229,64.74,6.05,3.90
26-September-2016,481.50,482.00,476.30,478.80,478.583717254144318197,74017,1995,35423331.00,43732,59.08,5.70,-2.70
23-September-2016,482.50,484.05,479.05,480.20,480.497461655874501576,1189752,3166,571672816.00,1144764,96.22,5.00,-2.30
22-September-2016,484.10,485.15,480.00,481.50,481.604467604122763324,52198,1734,25138790.00,24186,46.34,5.15,-2.60
21-September-2016,484.50,484.50,480.10,483.25,481.991875396835680872,77173,2648,37196759.00,27603,35.77,4.40,-1.25
20-September-2016,480.40,481.50,478.10,480.20,480.075769015056732387,92716,1481,44510705.00,69343,74.79,3.40,-0.20
19-September-2016,481.00,482.00,476.40,480.40,479.935182814307283435,113257,3581,54356019.00,55128,48.68,5.60,-0.60
16-September-2016,479.20,482.30,477.60,479.80,479.411816754284153751,366175,3331,175548622.00,277607,75.81,4.70,0.60
15-September-2016,482.50,482.50,474.25,478.35,476.504865794319581468,328004,2907,156295502.00,282547,86.14,8.25,-4.15
14-September-2016,483.00,484.60,476.00,478.15,479.086565603763721902,105215,3949,50407093.00,38093,36.20,8.60,-4.85
12-September-2016,477.00,483.50,473.05,481.30,481.300376807533201094,406839,5597,195811764.00,254262,62.50,10.45,4.30
9-September-2016,476.00,482.85,474.30,480.65,479.595549899584418683,251455,5219,120596699.00,93645,37.24,8.55,4.65
8-September-2016,478.00,480.00,470.25,473.60,472.910911337061249435,765754,6602,362133422.00,609145,79.55,9.75,-4.40
7-September-2016,486.80,489.00,481.50,482.15,484.905800238480408910,131667,4647,63846092.00,56163,42.66,7.50,-4.65
6-September-2016,485.10,485.60,480.25,482.80,482.136785680912697401,117717,3275,56755696.00,55105,46.81,5.35,-2.30
2-September-2016,483.95,485.25,479.75,483.35,482.324214747811832206,68322,3154,32953355.00,22325,32.68,5.50,-0.60
1-September-2016,492.50,492.50,481.55,483.70,484.879506938570936315,127692,3671,61915234.00,46463,36.39,10.95,-8.80
31-August-2016,490.00,495.90,486.50,490.50,491.955890287547210905,202019,5978,99384437.00,79261,39.23,9.40,0.50
30-August-2016,479.90,490.00,478.50,489.10,482.760489935017091480,963638,6250,465206353.00,818510,84.94,11.50,9.20
29-August-2016,491.00,492.10,476.00,478.55,480.869210312476915121,406110,9137,195285795.00,270160,66.52,16.10,-12.45
26-August-2016,504.90,506.35,488.00,489.95,497.613601989593710876,414557,10790,206289202.00,268612,64.79,18.35,-14.95
25-August-2016,519.60,519.60,504.00,505.10,509.285997094369142838,187911,5215,95700441.00,88737,47.22,15.60,-14.50
24-August-2016,520.10,524.00,517.50,519.85,519.934557191073238966,155846,1584,81029721.00,113965,73.13,6.50,-0.25
23-August-2016,516.00,520.60,515.30,519.55,518.276936230134781734,99420,2119,51527093.00,28754,28.92,5.30,3.55
22-August-2016,519.00,520.00,514.00,515.30,516.495731889949082195,93484,2151,48284087.00,33446,35.78,6.00,-3.70
19-August-2016,529.20,530.15,520.00,520.60,523.488810276481509358,119574,2977,62595651.00,59411,49.69,10.15,-8.60
18-August-2016,531.00,532.00,523.25,524.80,525.369313325102098964,63174,2221,33189681.00,28832,45.64,8.75,-6.20
17-August-2016,536.00,538.10,527.90,528.75,531.607616192736305979,216171,1660,114918150.00,179881,83.21,10.20,-7.25
16-August-2016,540.00,546.00,535.00,536.25,543.519104640965300823,1843819,2415,1002150852.00,1791471,97.16,11.00,-3.75
12-August-2016,546.00,549.25,542.00,543.75,544.530910190890130709,62811,1149,34202531.00,9274,14.76,7.25,-2.25
11-August-2016,541.00,547.45,540.10,543.70,542.706595417612180660,68305,1580,37069574.00,5340,7.82,7.35,2.70
10-August-2016,551.00,551.20,540.40,542.35,545.552235025959225022,39485,961,21541130.00,10151,25.71,10.80,-8.65
9-August-2016,546.60,551.90,546.05,550.40,549.363946984700428736,45949,1796,25242724.00,14339,31.21,5.85,3.80
8-August-2016,547.00,552.05,547.00,549.05,548.342059537079535768,366024,1523,200706354.00,327931,89.59,5.05,2.05
5-August-2016,547.30,552.75,544.75,544.85,545.481796970950295674,316733,1146,172772086.00,18689,5.90,8.00,-2.45
4-August-2016,553.00,553.00,546.00,548.40,548.218469394378691823,46217,1008,25337013.00,16955,36.69,7.00,-4.60
3-August-2016,552.00,554.90,546.75,548.00,548.603094889277060911,141976,911,77888473.00,107325,75.59,8.15,-4.00
2-August-2016,558.65,559.00,548.00,550.50,550.645549899060826823,45572,1674,25094019.00,14871,32.63,11.00,-8.15
1-August-2016,545.50,561.50,545.30,558.65,557.668487488004724293,94829,2574,52883145.00,36306,38.29,16.20,13.15
29-July-2016,552.00,552.15,543.00,545.30,545.999922473107859288,51595,1397,28170866.00,15797,30.62,9.15,-6.70
28-July-2016,548.50,556.00,544.25,553.30,550.507390444467575726,57642,1246,31732347.00,21122,36.64,11.75,4.80
27-July-2016,546.90,552.45,542.45,548.60,549.250122421497214910,326740,3837,179461985.00,29829,9.13,10.00,1.70
26-July-2016,542.90,550.90,541.75,546.85,546.924902463369393267,2425499,2798,1326565804.00,2347817,96.80,9.15,3.95
25-July-2016,537.45,543.30,535.50,542.40,539.959231853976201416,63113,1440,34078447.00,19765,31.32,7.80,4.95
22-July-2016,540.00,540.75,535.00,537.45,537.957796374213518537,1028632,2316,553360604.00,923429,89.77,5.75,-2.55
21-July-2016,539.90,545.00,539.00,541.70,541.982110608104105025,1434705,2911,777584444.00,1340602,93.44,6.00,1.80
20-July-2016,511.00,542.00,511.00,538.60,531.379606853810572290,666724,14525,354283537.00,51246,7.69,31.00,27.60
19-July-2016,548.00,553.35,545.00,549.40,549.663769363866030884,123103,2249,67665259.00,17512,14.23,8.35,1.40
18-July-2016,557.00,557.00,545.25,552.00,549.186014276803659297,101003,2385,55469435.00,29590,29.30,11.75,-5.00
15-July-2016,569.05,574.90,553.50,554.65,560.303861236802413273,132600,3284,74296292.00,44887,33.85,21.40,-14.40
14-July-2016,570.00,573.70,568.55,570.70,570.674622832695338887,35528,1056,20274928.00,9410,26.49,5.15,0.70
13-July-2016,572.00,577.50,570.00,573.90,573.340143620493725670,82718,2872,47425550.00,31183,37.70,7.50,1.90
12-July-2016,569.85,570.80,565.40,569.55,568.159674030686954860,47121,1744,26772252.00,19993,42.43,5.40,-0.30
11-July-2016,565.00,570.15,563.60,567.40,565.909741328535351497,495764,2905,280557677.00,432939,87.33,6.55,2.40
8-July-2016,558.00,563.80,554.25,562.00,561.609963135286762961,2049114,1295,1150802838.00,2013057,98.24,9.55,4.00
7-July-2016,566.10,567.50,558.00,558.90,559.687272550827308457,61827,1794,34603785.00,29890,48.34,9.50,-7.20
5-July-2016,560.00,568.00,556.05,562.15,562.187331592447946756,216365,926,121637662.00,186500,86.20,11.95,2.15
