,adbl.rating.overall.count,adbl.rating.overall.value,adbl.rating.performance.count,adbl.rating.performance.value,adbl.rating.story.count,adbl.rating.story.value,amazon.rating.overall.count,amazon.rating.overall.value,authors,category,length,narrated_by,price,program_format,publisher,release_date,series,subcategory,title
40,36600.0,5.0,36600.0,5.0,36600.0,5.0,21233.0,4.7,J.K. Rowling,Kids,1296.0,Jim Dale,44.99,Unabridged,Pottermore from J.K. Rowling,2015-11-20,"Series: Harry Potter, Book 7",Ages 8-10,"Harry Potter and the Deathly Hallows, Book 7"
41,44066.0,4.7,44066.0,4.7,44066.0,4.7,4222.0,4.6,George R. R. Martin,Sci-Fi & Fantasy,2238.0,Roy Dotrice,63.0,Unabridged,Random House Audio,2004-01-30,"Series: Song of Ice and Fire, Book 2",Fantasy: Epic,"A Clash of Kings: A Song of Ice and Fire, Book 2"
42,18619.0,4.6,18619.0,4.6,18619.0,4.6,2599.0,4.7,Jen Sincero,Self Development,345.0,Jen Sincero,24.49,Unabridged,Tantor Audio,2013-09-16,,Motivation & Inspiration,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life
43,375.0,4.3,375.0,4.3,375.0,4.3,242.0,4.2,B. A. Paris,Mysteries & Thrillers,560.0,Georgia Maguire,27.99,Unabridged,Macmillan Audio,2017-07-18,,Suspense,The Breakdown
44,1370.0,4.6,1370.0,4.6,1370.0,4.6,842.0,4.7,Joe Dispenza,Self Development,649.0,Adam Boyce,24.95,Unabridged,Author's Republic,2016-10-21,,Motivation & Inspiration,Breaking the Habit of Being Yourself: How to Lose Your Mind and Create a New One
45,749.0,4.5,749.0,4.5,749.0,4.5,654.0,4.0,Thomas Hardy,Classics,892.0,Jamie Parker,31.49,Unabridged,Naxos AudioBooks,2014-05-27,,British Literature,Far From the Madding Crowd
46,717.0,4.7,717.0,4.7,717.0,4.7,736.0,4.6,Daniel Silva,Mysteries & Thrillers,780.0,George Guidall,31.93,Unabridged,Harper Audio,2017-07-11,"Series: Gabriel Allon, Book 17",Espionage,House of Spies: A Novel
47,46588.0,4.6,46588.0,4.6,46588.0,4.6,13560.0,4.6,Fredrik Backman,Fiction,549.0,George Newbern,34.99,Unabridged,"Dreamscape Media, LLC",2014-08-05,,Literary,A Man Called Ove
48,7757.0,4.7,7757.0,4.7,7757.0,4.7,1046.0,4.6,Stephen King,Fiction,767.0,Frank Muller,22.67,Unabridged,Simon & Schuster Audio,2016-01-01,"Series: The Dark Tower, Book 2",Horror,The Dark Tower II: The Drawing of the Three
49,67.0,3.7,67.0,3.7,67.0,3.7,144.0,4.0,Marcus Sakey,Mysteries & Thrillers,712.0,Finty Williams,24.49,Unabridged,Brilliance Audio,2017-07-18,,Supernatural & Paranormal,Afterlife
