,adbl.rating.overall.count,adbl.rating.overall.value,adbl.rating.performance.count,adbl.rating.performance.value,adbl.rating.story.count,adbl.rating.story.value,amazon.rating.overall.count,amazon.rating.overall.value,authors,category,length,narrated_by,price,program_format,publisher,release_date,series,subcategory,title,url
31,4803.0,4.5,4803.0,4.5,4803.0,4.5,5897.0,4.6,Jeannette Walls,Bios & Memoirs,625,Jeannette Walls,27.93,Unabridged,Simon & Schuster Audio,2010-09-28,,Personal Memoirs,The Glass Castle: A Memoir [Audiobook],http://www.audible.com/pd/Bios-Memoirs/The-Glass-Castle-Audiobook/B0043WI3N2/ref=a_adblbests_c2_12_t?ie=UTF8&pf_rd_r=18RDBET9TPGXN03CDRPA&pf_rd_m=A2ZO8JX97D5MN9&pf_rd_t=101&pf_rd_i=adblbestsellers&pf_rd_p=1815570102&pf_rd_s=center-2
32,1214.0,4.5,1214.0,4.5,1214.0,4.5,3782.0,4.6,Rachel Caine,Mysteries & Thrillers,604,Emily Sutton-Smith,10.49,Unabridged,Brilliance Audio,2017-07-01,"Series: Stillhouse Lake, Book 1",Psychological,Stillhouse Lake,http://www.audible.com/pd/Mysteries-Thrillers/Stillhouse-Lake-Audiobook/B071FBNW5T/ref=a_adblbests_c2_13_t?ie=UTF8&pf_rd_r=18RDBET9TPGXN03CDRPA&pf_rd_m=A2ZO8JX97D5MN9&pf_rd_t=101&pf_rd_i=adblbestsellers&pf_rd_p=1815570102&pf_rd_s=center-2
33,44120.0,4.7,44120.0,4.7,44120.0,4.7,4224.0,4.6,George R. R. Martin,Sci-Fi & Fantasy,2238,Roy Dotrice,63.0,Unabridged,Random House Audio,2004-01-30,"Series: Song of Ice and Fire, Book 2",Fantasy: Epic,"A Clash of Kings: A Song of Ice and Fire, Book 2",http://www.audible.com/pd/Sci-Fi-Fantasy/A-Clash-of-Kings-Audiobook/B002UZKIBO/ref=a_adblbests_c2_14_t?ie=UTF8&pf_rd_r=18RDBET9TPGXN03CDRPA&pf_rd_m=A2ZO8JX97D5MN9&pf_rd_t=101&pf_rd_i=adblbestsellers&pf_rd_p=1815570102&pf_rd_s=center-2
34,23405.0,4.9,23405.0,4.9,23405.0,4.9,20113.0,4.7,J.K. Rowling,Kids,1272,Jim Dale,44.99,Unabridged,Pottermore from J.K. Rowling,2015-11-20,"Series: Harry Potter, Book 4",Ages 8-10,"Harry Potter and the Goblet of Fire, Book 4",http://www.audible.com/pd/Kids/Harry-Potter-and-the-Goblet-of-Fire-Book-4-Audiobook/B017V4NUPO/ref=a_adblbests_c2_15_t?ie=UTF8&pf_rd_r=18RDBET9TPGXN03CDRPA&pf_rd_m=A2ZO8JX97D5MN9&pf_rd_t=101&pf_rd_i=adblbestsellers&pf_rd_p=1815570102&pf_rd_s=center-2
35,3546.0,4.6,3546.0,4.6,3546.0,4.6,2.0,5.0,Esther Perel,Self Development,46,Esther Perel,0.0,,Audible Originals,2017-05-18,"Series: Where Should We Begin? with Esther Perel, Book 1",Relationships,Ep. 1: I've Had Better,http://www.audible.com/pd/Self-Development/Ep-1-Ive-Had-Better-Audiobook/B072BTVD9D/ref=a_adblbests_c2_16_t?ie=UTF8&pf_rd_r=18RDBET9TPGXN03CDRPA&pf_rd_m=A2ZO8JX97D5MN9&pf_rd_t=101&pf_rd_i=adblbestsellers&pf_rd_p=1815570102&pf_rd_s=center-2
36,21601.0,4.9,21601.0,4.9,21601.0,4.9,21246.0,4.7,J.K. Rowling,Kids,1622,Jim Dale,44.99,Unabridged,Pottermore from J.K. Rowling,2015-11-20,"Series: Harry Potter, Book 5",Ages 8-10,"Harry Potter and the Order of the Phoenix, Book 5",http://www.audible.com/pd/Kids/Harry-Potter-and-the-Order-of-the-Phoenix-Book-5-Audiobook/B017V4NMX4/ref=a_adblbests_c2_17_t?ie=UTF8&pf_rd_r=18RDBET9TPGXN03CDRPA&pf_rd_m=A2ZO8JX97D5MN9&pf_rd_t=101&pf_rd_i=adblbestsellers&pf_rd_p=1815570102&pf_rd_s=center-2
37,18662.0,4.6,18662.0,4.6,18662.0,4.6,2606.0,4.7,Jen Sincero,Self Development,345,Jen Sincero,24.49,Unabridged,Tantor Audio,2013-09-16,,Motivation & Inspiration,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,http://www.audible.com/pd/Self-Development/You-Are-a-Badass-Audiobook/B00EYNQSGO/ref=a_adblbests_c2_18_t?ie=UTF8&pf_rd_r=18RDBET9TPGXN03CDRPA&pf_rd_m=A2ZO8JX97D5MN9&pf_rd_t=101&pf_rd_i=adblbestsellers&pf_rd_p=1815570102&pf_rd_s=center-2
38,36684.0,5.0,36684.0,5.0,36684.0,5.0,21246.0,4.7,J.K. Rowling,Kids,1296,Jim Dale,44.99,Unabridged,Pottermore from J.K. Rowling,2015-11-20,"Series: Harry Potter, Book 7",Ages 8-10,"Harry Potter and the Deathly Hallows, Book 7",http://www.audible.com/pd/Kids/Harry-Potter-and-the-Deathly-Hallows-Book-7-Audiobook/B017WJ5ZK6/ref=a_adblbests_c2_19_t?ie=UTF8&pf_rd_r=18RDBET9TPGXN03CDRPA&pf_rd_m=A2ZO8JX97D5MN9&pf_rd_t=101&pf_rd_i=adblbestsellers&pf_rd_p=1815570102&pf_rd_s=center-2
39,19939.0,4.9,19939.0,4.9,19939.0,4.9,6184.0,4.5,J.K. Rowling,Kids,1135,Jim Dale,44.99,Unabridged,Pottermore from J.K. Rowling,2015-11-20,"Series: Harry Potter, Book 6",Ages 8-10,"Harry Potter and the Half-Blood Prince, Book 6",http://www.audible.com/pd/Kids/Harry-Potter-and-the-Half-Blood-Prince-Book-6-Audiobook/B017V4NOZ0/ref=a_adblbests_c2_20_t?ie=UTF8&pf_rd_r=18RDBET9TPGXN03CDRPA&pf_rd_m=A2ZO8JX97D5MN9&pf_rd_t=101&pf_rd_i=adblbestsellers&pf_rd_p=1815570102&pf_rd_s=center-2
40,3.0,4.7,3.0,4.7,3.0,4.7,1.0,4.0,"James Patterson , Maxine Paetro",Mysteries & Thrillers,143,Kate Russell,11.39,Unabridged,Hachette Audio,2017-08-01,"Series: Women's Murder Club, Book 16.5",Suspense,The Medical Examiner: A Women's Murder Club Story,http://www.audible.com/pd/Mysteries-Thrillers/The-Medical-Examiner-Audiobook/B0735JLT4G/ref=a_adblbests_c2_1_t?ie=UTF8&pf_rd_r=1NDF6R7N1CCXTTR1320A&pf_rd_m=A2ZO8JX97D5MN9&pf_rd_t=101&pf_rd_i=adblbestsellers&pf_rd_p=1815570102&pf_rd_s=center-2
