,adbl.rating.overall.count,adbl.rating.overall.value,adbl.rating.performance.count,adbl.rating.performance.value,adbl.rating.story.count,adbl.rating.story.value,amazon.rating.overall.count,amazon.rating.overall.value,authors,category,length,narrated_by,price,program_format,publisher,release_date,series,subcategory,title
0,188.0,4.4,188.0,4.4,188.0,4.4,,,Jon Ronson,Radio & TV,207.0,Jon Ronson,0.0,,Audible Originals,2017-07-27,,Documentaries,The Butterfly Effect with Jon Ronson
1,230.0,4.1,230.0,4.1,230.0,4.1,298.0,4.3,Shalini Boland,Mysteries & Thrillers,451.0,Saskia Maarleveld,2.95,Unabridged,Tantor Audio,2017-01-03,,Psychological,The Best Friend
2,37367.0,4.5,37367.0,4.5,37367.0,4.5,1651.0,4.6,Mark Manson,Self Development,330.0,Roger Wayne,23.95,Unabridged,HarperAudio,2016-09-13,,Motivation & Inspiration,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life
3,89047.0,4.7,89047.0,4.7,89047.0,4.7,12631.0,4.6,Ernest Cline,Sci-Fi & Fantasy,946.0,Wil Wheaton,31.5,Unabridged,Random House Audio,2011-08-16,,Sci-Fi: Contemporary,Ready Player One
4,9655.0,4.8,9655.0,4.8,9655.0,4.8,320.0,4.8,"Kevin Hart , Neil Strauss - contributor",Comedy,674.0,Kevin Hart,29.95,Unabridged,Audible Studios,2017-06-06,,Memoirs,I Can't Make This Up: Life Lessons
5,12367.0,4.3,12367.0,4.3,12367.0,4.3,3077.0,4.3,Stephen King,Fiction,440.0,George Guidall,18.89,Unabridged,Simon & Schuster Audio,2016-01-01,"Series: The Dark Tower, Book 1",Horror,The Dark Tower I: The Gunslinger
6,68681.0,4.7,68681.0,4.7,68681.0,4.7,9527.0,4.6,George R. R. Martin,Sci-Fi & Fantasy,2030.0,Roy Dotrice,31.5,Unabridged,Random House Audio,2003-12-09,"Series: Song of Ice and Fire, Book 1",Fantasy: Epic,"A Game of Thrones: A Song of Ice and Fire, Book 1"
7,7714.0,4.6,7714.0,4.6,7714.0,4.6,301.0,4.5,Mel Robbins,Self Development,457.0,Mel Robbins,19.95,Unabridged,Mel Robbins Productions Inc.,2017-02-22,,Motivation & Inspiration,"The 5 Second Rule: Transform your Life, Work, and Confidence with Everyday Courage"
8,8370.0,4.5,8370.0,4.5,8370.0,4.5,7079.0,4.1,"Margaret Atwood , Valerie Martin - essay",Fiction,732.0,"Claire Danes , Margaret Atwood , full cast",29.95,Unabridged,Audible Studios,2017-04-04,,Literary,The Handmaid's Tale: Special Edition
9,39552.0,4.9,39552.0,4.9,39552.0,4.9,14847.0,4.7,J.K. Rowling,Kids,514.0,Jim Dale,29.99,Unabridged,Pottermore from J.K. Rowling,2015-11-20,"Series: Harry Potter, Book 1",Ages 8-10,"Harry Potter and the Sorcerer's Stone, Book 1"
