Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
6-October-2016,479.50,480.50,476.50,477.70,477.870829099355052777,192884,2058,92173637.00,121574,63.03,4.00,-1.80
5-October-2016,484.00,484.00,476.50,478.95,478.335774869055859169,96797,2091,46301468.00,49331,50.96,7.50,-5.05
5-October-2016,484.00,484.00,476.50,478.95,478.335774869055859169,96797,2091,46301468.00,49331,50.96,7.50,-5.05
4-October-2016,480.50,484.90,479.25,481.50,483.011635750421585160,77090,1906,37235367.00,19608,25.44,5.65,1.00
3-October-2016,479.00,479.75,474.25,478.55,477.789110149611635302,38366,1262,18330857.00,13828,36.04,5.50,-0.45
30-September-2016,479.00,479.85,473.25,477.65,477.301447776628748707,59954,1822,28616131.00,14394,24.01,6.60,-1.35
29-September-2016,483.40,484.40,470.00,472.45,477.347278056525234843,196514,3663,93805423.00,99153,50.46,14.40,-10.95
28-September-2016,484.05,484.60,480.20,483.40,482.435942000198629456,40276,951,19430590.00,12007,29.81,4.40,-0.65
27-September-2016,480.50,485.05,479.00,484.40,483.216792799801959189,113108,1871,54655685.00,73229,64.74,6.05,3.90
26-September-2016,481.50,482.00,476.30,478.80,478.583717254144318197,74017,1995,35423331.00,43732,59.08,5.70,-2.70
23-September-2016,482.50,484.05,479.05,480.20,480.497461655874501576,1189752,3166,571672816.00,1144764,96.22,5.00,-2.30
22-September-2016,484.10,485.15,480.00,481.50,481.604467604122763324,52198,1734,25138790.00,24186,46.34,5.15,-2.60
21-September-2016,484.50,484.50,480.10,483.25,481.991875396835680872,77173,2648,37196759.00,27603,35.77,4.40,-1.25
20-September-2016,480.40,481.50,478.10,480.20,480.075769015056732387,92716,1481,44510705.00,69343,74.79,3.40,-0.20
19-September-2016,481.00,482.00,476.40,480.40,479.935182814307283435,113257,3581,54356019.00,55128,48.68,5.60,-0.60
16-September-2016,479.20,482.30,477.60,479.80,479.411816754284153751,366175,3331,175548622.00,277607,75.81,4.70,0.60
