Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
14-July-2017,299.80,299.80,294.55,298.00,296.773005393365928433,388811,3081,115388609.00,106883,27.49,5.25,-1.80
13-July-2017,295.50,299.30,295.00,297.75,297.605355594269730290,777206,6177,231300668.00,220864,28.42,4.30,2.25
12-July-2017,289.10,294.90,288.60,292.75,291.009732985639255151,408405,2937,118849830.00,123802,30.31,6.30,3.65
11-July-2017,292.50,293.00,288.90,289.75,290.258892068455600436,448349,3074,130137284.00,140699,31.38,4.10,-2.75
10-July-2017,290.00,293.40,289.40,291.50,291.542264427829513990,2449069,17866,714007122.00,1213327,49.54,4.00,1.50
7-July-2017,295.00,295.00,289.10,289.80,290.636957894954850468,386272,2818,112264919.00,129875,33.62,5.90,-5.20
6-July-2017,294.00,295.00,292.35,293.55,294.125877346250461604,2521097,4295,741519867.00,203772,8.08,2.65,-0.45
5-July-2017,290.00,293.90,288.60,292.60,290.827832354884278033,372358,2939,108292070.00,134274,36.06,5.30,2.60
4-July-2017,292.60,294.00,288.80,289.45,290.586792787321469004,569719,4411,165552817.00,162758,28.57,5.20,-3.15
3-July-2017,291.00,292.35,288.80,289.95,290.349635919451625910,379449,2577,110172879.00,112089,29.54,3.55,-1.05
30-June-2017,292.90,292.90,287.55,290.10,289.488050944096038803,940953,5755,272394650.00,468200,49.76,5.35,-2.80
29-June-2017,292.00,296.00,290.20,293.70,293.000067166729553163,506203,3888,148317513.00,170209,33.62,5.80,1.70
28-June-2017,288.20,293.30,288.20,290.95,291.175303717135086128,579075,4368,168612339.00,211980,36.61,5.10,2.75
27-June-2017,292.50,293.10,283.50,288.00,287.164325454067894931,711953,4882,204447503.00,246379,34.61,9.60,-4.50
23-June-2017,290.00,293.45,284.50,291.50,289.364927458561420970,653075,5073,188977000.00,202082,30.94,8.95,1.50
22-June-2017,293.40,293.40,288.25,289.45,291.354341861162643441,900190,3323,262274265.00,522457,58.04,5.15,-3.95
21-June-2017,292.55,292.60,289.55,291.00,291.219943809975553690,438512,3362,127703440.00,195898,44.67,3.05,-1.55
20-June-2017,292.80,295.40,289.15,292.55,292.975004675907645628,962380,6132,281953285.00,457894,47.58,6.25,-0.25
19-June-2017,316.60,321.60,316.60,320.60,319.123580495918328330,418456,4655,133539177.00,168848,40.35,5.00,4.00
16-June-2017,318.50,319.00,315.75,316.50,316.578103662206239644,2691820,3868,852171271.00,1309828,48.66,3.25,-2.00
15-June-2017,319.15,319.20,315.70,316.90,317.293125073955744882,338040,3249,107257768.00,147329,43.58,3.50,-2.25
14-June-2017,316.50,322.20,315.75,319.15,318.737619048010651307,2432002,5009,775170527.00,1623898,66.77,6.45,2.65
13-June-2017,315.00,318.75,314.00,314.80,316.399853319417483197,389963,2569,123384236.00,173546,44.50,4.75,-0.20
12-June-2017,320.90,320.90,314.85,315.75,317.968761935719800089,492220,4210,156510584.00,233017,47.34,6.05,-5.15
9-June-2017,319.95,322.90,316.30,321.80,320.326205031527120645,437084,3455,140009459.00,108403,24.80,6.60,1.85
8-June-2017,326.00,327.20,319.35,320.15,321.736932716654617002,605826,4506,194916599.00,181591,29.97,7.85,-5.85
7-June-2017,320.10,325.80,320.10,324.75,323.607709449040125767,932518,10661,301770014.00,402097,43.12,5.70,4.65
6-June-2017,321.40,321.50,317.75,318.65,318.720715027371419562,735804,3891,234515977.00,502116,68.24,3.75,-2.75
5-June-2017,318.90,321.40,318.20,319.65,319.989870657466320160,334770,2655,107123009.00,112098,33.49,3.20,0.75
2-June-2017,321.90,323.00,315.55,318.05,318.239908691993098420,710562,5198,226129186.00,309134,43.51,7.45,-3.85
1-June-2017,325.90,327.50,318.10,320.05,320.897776405469680036,1097907,9028,352315915.00,398047,36.26,9.40,-5.85
31-May-2017,322.25,327.10,318.50,326.30,324.028905227184355190,1401615,11840,454163774.00,600529,42.85,8.60,4.05
30-May-2017,314.25,324.50,314.20,320.65,321.253778088425561024,672430,6877,216020678.00,132380,19.69,10.30,6.40
29-May-2017,320.90,320.90,313.80,314.70,316.743833915297911067,504899,8277,159923645.00,169500,33.57,7.10,-6.20
26-May-2017,317.80,323.30,316.50,321.65,320.501028442297822566,1256755,12179,402791270.00,520666,41.43,6.80,3.85
25-May-2017,306.80,319.30,306.10,317.60,314.338830334257330639,957795,11534,301072160.00,286720,29.94,13.20,10.80
24-May-2017,307.40,309.70,303.05,306.80,306.425971620508710427,1267676,18884,388448850.00,601558,47.45,6.65,-0.60
23-May-2017,303.25,309.50,302.70,306.25,305.755106112611348624,5623554,15090,1719430350.00,4592395,81.66,6.80,3.00
22-May-2017,309.00,311.35,302.15,304.90,306.579945313550584965,1048523,5740,321456124.00,337790,32.22,9.20,-4.10
19-May-2017,308.00,312.25,303.90,307.10,307.954670099267564971,786964,9840,242349239.00,232015,29.48,8.35,-0.90
18-May-2017,305.25,312.80,304.70,307.00,307.252918261370810732,6883722,10663,2115043673.00,6094767,88.54,8.10,1.75
17-May-2017,305.00,310.15,304.45,309.80,307.966089041895071441,882753,8910,271857989.00,385848,43.71,5.70,4.80
16-May-2017,303.70,305.70,301.10,302.70,303.181027124153710033,513122,4110,155568855.00,126476,24.65,4.60,-1.00
15-May-2017,299.20,303.55,298.30,302.05,301.987816787538222627,624630,6270,188630650.00,225105,36.04,5.25,2.85
